filed (Year filed),end (Year end),host (Hos tstate ISO3),home (Home state ISO3),home2 (Home state2 ISO3),home3 (Home state3 ISO3),home4 (Home state4 ISO3),home5 (Home state5 ISO3),parties (Parties to arbitration),venue (Venue or rules adopted),caseno (Case no.),legal (Legal doc. invoked),invsttype (Text on investment type),sector (Sector 3-letter code),asought_text (Text on award sought),"asought_usm (Award sought in US$m, exchange rate at time of filing, less interest/costs)",concluded (Arbitration concluded),winner (Status/winner pre-annulment),awardinvst_text (Text on award to investor),"awardinvst_usm (Award to investor in US$m, not including costs/interest)",annul (Annulment filed),annul_filed (Year annulment filed),Annul_end (Year annulment ends),annulstatus (Status of annulment)
2007,2012,PRY,CHE,n.a.,n.a.,n.a.,n.a.,SGS Soci_t_ G_n_rale de Surveillance SA v. Republic of Paraguay  ,ICSID,ARB/07/29,Paraguay-Switzerland BIT,Consulting services (testing and verification),SER,unknown,unknown,yes,investor,"US$39.03m, plus interest and half of arbitration costs",39,yes,2012,2014,upheld
2012,pending,ROM,ITA,n.a.,n.a.,n.a.,n.a.,Marco Gavazzi and Stefano Gavazzi v. Romania,ICSID,ARB/12/25,Italy-Romania BIT,Steel production,MFG,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,ROM,CHE,n.a.,n.a.,n.a.,n.a.,Alpiq AG v. Romania,ICSID,ARB/14/28,"Romania-Switzerland BIT, Energy Charter Treaty",Electric power concession,UTL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2010,pending,ROM,USA,n.a.,n.a.,n.a.,n.a.,"Hassan Awdi, Enterprise Business Consultants, Inc. & Alfa El Corporation v. Romania",ICSID,ARB/10/13,Romania-United States BIT,Consulting services,SER,Approximately Û407.7m,502.4,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,ROM,SWE,n.a.,n.a.,n.a.,n.a.,"Ioan Micula, Viorel Micula and others v. Romania",ICSID,ARB/14/29,Sweden-Romania BIT,Beverage production enterprise,MFG,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2007,2010,ROM,USA,n.a.,n.a.,n.a.,n.a.,S&T Oil Equipment & Machinery Ltd. v. Romania ,ICSID,ARB/07/13,Romania-United States BIT,Manufacturing (ammonia),MFG,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2006,2011,ROM,GRC,n.a.,n.a.,n.a.,n.a.,Spyridon Roussalis v. Romania ,ICSID,ARB/06/1,Greece-Romania BIT ,Import/Export (foodstuffs),AGR,Over US$100m,100,yes,state,0,0,no,n.a.,n.a.,n.a.
2006,2013,ROM,NLD,n.a.,n.a.,n.a.,n.a.,Rompetrol Group NV v. Romania ,ICSID,ARB/06/3,Netherlands-Romania BIT,Oil and gas,OIL,At least US$100m,100,yes,state,0,0,no,n.a.,n.a.,n.a.
2010,2013,ROM,TUR,n.a.,n.a.,n.a.,n.a.,…mer Dede and Serdar ElhŸseyni v. Romania,ICSID,ARB/10/22,Romania-Turkey BIT,Manufacturing (machinery),MFG,Approximately Û2m,2.8,yes,state,0,0,no,n.a.,n.a.,n.a.
2005,2009,ROM,GBR,n.a.,n.a.,n.a.,n.a.,EDF (Services) Limited v. Republic of Romania,ICSID,ARB/05/13,Romania-United Kingdom BIT,Duty free concession,SER,unknown,unknown,yes,state,0,0,no,n.a.,n.a.,n.a.
2001,2005,ROM,USA,n.a.,n.a.,n.a.,n.a.,Noble Ventures v. Romania ,ICSID,ARB/01/11,Romania-United States BIT,Steel production,MFG,"US$143531000 plus applicable tax gross-up, interest (compounded from 31 July 2001), and costs",143.5,yes,state,0,0,no,n.a.,n.a.,n.a.
2005,2013,ROM,SWE,n.a.,n.a.,n.a.,n.a.,"Ioan Micula, Viorel Micula, S.C. European Food SA, S.C. Starmill SRL & S.C. Multipack SRL v. Romania",ICSID,ARB/05/20,Romania-Sweden BIT,"Manufacturing (food, milling, plastic packaging)",MFG,unknown,unknown,yes,investor,"Romanian Lei 376.4m, plus interest (parties to pay their own legal costs and split the cost of arbitration)",0.1,yes,2014,pending,pending
2004,2006,RUS,BELLUX,n.a.,n.a.,n.a.,n.a.,Vladimir Berschader and Michael Berschader v. Russian Federation ,SCC,080/2004,Belgium & Luxembourg-USSR BIT,Real estate (court facilities),RE,US$13287147 plus interest,13,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2009,2011,RUS,ITA,n.a.,n.a.,n.a.,n.a.,Cesare Galdabini SpA v. Russian Federation,UNCITRAL,n.a.,Italy-Russia BIT,Finance (debt instruments),FIN,unknown,unknown,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2000,2001,RUS,GBR,n.a.,n.a.,n.a.,n.a.,UK Bank v. Russian Federation,SCC,n.a.,Russian Federation-United Kingdom BIT,Finance (debt instruments),FIN,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2005,2014,RUS,GBR,n.a.,n.a.,n.a.,n.a.,Yukos Universal Ltd. v. Russian Federation,PCA,AA227,Energy Charter Treaty,Oil and gas,OIL,US$4.666b,4666,yes,investor,US$1.85b (plus Û156k and US$2.21m for legal costs),1850,n.a.,n.a.,n.a.,n.a.
2006,2012,RUS,ESP,n.a.,n.a.,n.a.,n.a.,"Renta 4, et al v. Russian Federation ",SCC,24/2007,Spain-USSR BIT ,Oil and gas (exploration),OIL,Up to US$40m,40,yes,investor,US$2.03m plus interest (legal fees included),2,n.a.,n.a.,n.a.,n.a.
1995,1998,RUS,DEU,n.a.,n.a.,n.a.,n.a.,Mr. Franz Sedelmayer vs. Russian Federation,SCC,n.a.,German-Russian Federation treaty,Security services,SER,US$7649637.61,7.6,yes,investor,"US$2350000 (each party to pay their legal costs, Respondent to pay part of Claimant's legal costs)",2.4,n.a.,n.a.,n.a.,n.a.
2001,2004,RUS,CHE,n.a.,n.a.,n.a.,n.a.,Compagnie Noga D'Importation Et D'Exportation S.A. v. The Russian Federation,SCC,"Docket Nos. 02-9237(L), 02-9272(CON)",Contract with host state,Banking,FIN,US$800m,800,yes,investor,US$27m,27,n.a.,n.a.,n.a.,n.a.
2009,2012,RUS,ESP,n.a.,n.a.,n.a.,n.a.,Quasar de Valores SICA SA and ors v Russian Federation,SCC ,24/2007,Spain-USSR BIT,Oil and gas,OIL,unknown,unknown,yes,investor,"US$2m, plus interest (legal fees included)",2,n.a.,n.a.,n.a.,n.a.
2005,2010,RUS,GBR,n.a.,n.a.,n.a.,n.a.,RosInvestCo UK Ltd. v. Russian Federation,SCC,V079/2005 ,Russian Federation-United Kingdom BIT,Oil and gas ,OIL,"Initial claim: US$276.1m plus interest, Lowered claim: US$220.4m",220.4,yes,investor,"US$3.5m, plus interest (parties pay their own legal fees and arbitration costs split)",3.5,n.a.,n.a.,n.a.,n.a.
2005,2014,RUS,CYP,n.a.,n.a.,n.a.,n.a.,Hulley Enterprises Ltd. v. Russian Federation,PCA,AA226,Energy Charter Treaty,Oil and gas,OIL,US$93.229b,93229,yes,investor,US$39.97b (and Û3.4m plus US$47.9m for legal costs),39970,n.a.,n.a.,n.a.,n.a.
2005,2014,RUS,CYP,n.a.,n.a.,n.a.,n.a.,Veteran Petroleum Ltd. v. Russian Federation,PCA,AA228,Energy Charter Treaty,Oil and gas,OIL,US$16.279b,16279,yes,investor,"US$8.20b, plus legal costs (enumerated at Û695k plus US$9.84m)",8200,n.a.,n.a.,n.a.,n.a.
2010,2011,RWA,USA,n.a.,n.a.,n.a.,n.a.,Olyana Holdings LLC v. Republic of Rwanda,ICSID,ARB/10/10,Contract with host state,Agricultural enterprise (tea),AGR,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2003,2003,SAU,DEU,n.a.,n.a.,n.a.,n.a.,Ed. ZŸblin AG v. Kingdom of Saudi Arabia,ICSID,ARB/03/1,Germany-Saudi Arabia BIT,Real estate (commercial),RE,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2014,pending,SDN,JOR,LBN,n.a.,n.a.,n.a.,Michael Dagher v. Republic of the Sudan,ICSID,ARB/14/2,"Sudan-Jordan BIT, Sudan-Lebanon BIT",Telecommunications (wireless internet),TEL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,SEN,FRA,n.a.,n.a.,n.a.,n.a.,VICAT v. Republic of Senegal,ICSID,ARB/14/19,Senegal-France BIT,Manufacturing (cement),MFG,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2008,2012,SEN,NLD,n.a.,n.a.,n.a.,n.a.,"Millicom International Operations BV, et al v. Senegal",ICSID,ARB/08/20,"Netherlands-Senegal BIT, Contract",Telecommunications,TEL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2009,pending,SLV,USA,n.a.,n.a.,n.a.,n.a.,Pac Rim Cayman LLC v. Republic of El Salvador,ICSID,ARB/09/12,"CAFTA-DR, El Salvador Investment Law (1999)",Mining (gold and silver),MIN,"US$75m plus uncalculated losses (estimated at no less than an additional $75m), plus interest and legal costs",75,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,SLV,ITA,n.a.,n.a.,n.a.,n.a.,Enel Green Power S.p.A. v. Republic of El Salvador,ICSID,ARB/13/18,El Salvador Investment Law (1999),Electric power concession (thermal),UTL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2003,2006,SLV,ESP,n.a.,n.a.,n.a.,n.a.,Inceysa Vallisoletana S.L. v. Republic of El Salvador ,ICSID,ARB/03/26,El Salvador-Spain BIT,Vehicle inspection facilities,SER,Not less than US$120m,120,yes,state,0,0,no,n.a.,n.a.,n.a.
2009,2011,SLV,USA,n.a.,n.a.,n.a.,n.a.,"Commerce Group Corp. and San Sebastian Gold Mines, Inc. v. Republic of El Salvador ",ICSID,ARB/09/17,"CAFTA-DR, El Salvador Investment Law (1999)",Mining,MIN,US$100m,100,yes,state,0,0,yes,2011,2013,discontinued
2014,pending,SRB,BELLUX,n.a.,n.a.,n.a.,n.a.,Zelena N.V. and Energo-Zelena d.o.o Indija v. Republic of Serbia,ICSID,ARB/14/27,Belgium & Luxembourg-Serbia BIT,Waste management,SER,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,SRB,GRC,n.a.,n.a.,n.a.,n.a.,Mytilineos Holdings v. Serbia,UNCITRAL,n.a.,Greece-Serbia BIT,Mining,MIN,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,2012,SRB,GRC,n.a.,n.a.,n.a.,n.a.,Club Hotel Loutraki S.A. and Casinos Austria International Holding GMBH v. Republic of Serbia,ICSID,ARB/11/4,"Greece-Serbia BIT, Austria-Serbia BIT",Gaming,SER,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2012,pending,SSD,SDN,n.a.,n.a.,n.a.,n.a.,Sudapet Company Limited v. Republic of South Sudan,ICSID,ARB/12/26,South Sudan Investment Law (2009),Exploration and production of hydrocarbons,OIL,US$1.2b,1200,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2008,2009,SVK,AUT,n.a.,n.a.,n.a.,n.a.,Austrian Airlines v. Slovak Republic,UNCITRAL,n.a.,Austria-Slovak Republic BIT,Aviation,SER,unknown,unknown,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2010,2012,SVK,AUT,n.a.,n.a.,n.a.,n.a.,European American Investment Bank AG (EURAM) vs. Slovak Republic,PCA,2010-17,Austria-Slovak Republic BIT,Health services (insurance),FIN,Û131400000,185.3,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2006,2012,SVK,NLD,n.a.,n.a.,n.a.,n.a.,Jan Oostergetel & Theodora Laurentius vs. The Slovak Republic,UNCITRAL,n.a.,Netherlands-Slovak Republic BIT,Textile enterprise,MFG,Û298m,352.9,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2008,2011,SVK,NLD,n.a.,n.a.,n.a.,n.a.,HICEE v. Slovak Republic,PCA,2009-11,Netherlands-Slovak Republic BIT,Finance (insurance),SER,unknown,unknown,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2008,2011,SVK,CHE,n.a.,n.a.,n.a.,n.a.,Alps Finance and Trade AG v. Slovak Republic ,UNCITRAL,n.a.,Slovak Republic-Switzerland BIT ,Finance (debt instruments),FIN,unknown,unknown,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2008,2012,SVK,NLD,n.a.,n.a.,n.a.,n.a.,Achmea B.V. v. Slovak Republic (formerly Eureko BV v Slovak Republic),PCA,2008-13,Netherlands-Slovak Republic BIT,Health services,SER,unknown,unknown,yes,investor,"Û22.1m, plus interest and taxes on the award, plus Û3.1m for legal costs",28.6,n.a.,n.a.,n.a.,n.a.
2010,pending,SVK,AUT,n.a.,n.a.,n.a.,n.a.,EuroGas GmbH. v. Slovakia,UNCITRAL,n.a.,Austria-Slovak Republic BIT,Mining (talc),MIN,Û500m,665,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,SVK,USA,CAN,n.a.,n.a.,n.a.,EuroGas Inc. and Belmont Resources Inc. v. Slovak Republic,ICSID,ARB/14/14,"USA-Slovak Republic BIT, Canada-Slovak Republic BIT",Mining (talc),MIN,US$1b ,1000,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,2013,SVK,DEU,NLD,n.a.,n.a.,n.a.,"Slovak Gas Holding BV, GDF International SAS and E.ON Ruhrgas International GmbH v. Slovak Republic ",ICSID,ARB/12/7,Energy Charter Treaty,Oil and gas,OIL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2013,2014,SVK,NLD,n.a.,n.a.,n.a.,n.a.,U.S.ÊSteel Global Holdings I B.V. v. Slovak Republic,PCA,2013-6,Netherlands-Slovakia BIT,Steel production,MFG,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2006,2008,SVK,NLD,n.a.,n.a.,n.a.,n.a.,Branimir Mensik v. Slovak Republic ,ICSID,ARB/06/9,Slovak Republic-Switzerland BIT ,Water supply concession,UTL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1997,2004,SVK,CZE,n.a.,n.a.,n.a.,n.a.,"Ceskoslovenska Obchodni Banka, a.s. v. Slovak Republic ",ICSID,ARB/97/4,Czech Republic-Slovak Republic BIT ,Finance (debt instruments),FIN,"Slovak Crowns 40.3 billion, plus interest",1400,yes,investor,"Slovak Crowns 24796381842.00 plus 24796381842.00 in interest (plus US$ 10,000,000 in legal fees for claimant) ??this says 10 million USD in legal fees?!?",800,no,n.a.,n.a.,n.a.
2005,pending,SVN,HRV,n.a.,n.a.,n.a.,n.a.,Hrvatska Elektropriveda d.d. (HEP) v. Republic of Slovenia,ICSID,ARB/05/24,Energy Charter Treaty ,Electric power concession (nuclear),UTL,Û31.7m,35,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,SVN,ITA,n.a.,n.a.,n.a.,n.a.,"Impresa Grassetto S. p. A., in liquidation v. Republic of Slovenia",ICSID,ARB/13/10,Italy-Slovenia BIT,Highway construction project ,UTL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2004,2005,SVN,NLD,n.a.,n.a.,n.a.,n.a.,"Interbrew Central European Holding BV v. Republic of Slovenia   
",ICSID,ARB/04/17,Netherlands-Slovenia BIT,Brewery,MFG,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2002,2003,SYC,GBR,n.a.,n.a.,n.a.,n.a.,CDC Group PLC v. Republic of Seychelles,ICSID,ARB/02/14,Contract with host state,Finance (debt instruments),FIN,UK£2103379,3.3,yes,investor,"UK£2.4m, plus legal fees",3.9,yes,2004,2005,upheld
2005,2006,TGO,FRA,n.a.,n.a.,n.a.,n.a.,Togo Electricit_ v. Republic of Togo ,ICSID CR,CONC/05/1,OHADA Treaty,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2006,2010,TGO,FRA,n.a.,n.a.,n.a.,n.a.,Togo Electricit_ and GDF-Suez Energie Services v. Republic of Togo ,ICSID,ARB/06/7,Contract with host state,Electric power concession,UTL,unknown,unknown,yes,investor,"West African CFA 39.67b, plus interest",80.5,yes,2010,2011,upheld
2005,2009,THA,DEU,n.a.,n.a.,n.a.,n.a.,Walter Bau vs. Thailand,UNCITRAL,n.a.,Germany-Thailand BIT,Highway construction project ,UTL,unknown,unknown,yes,investor,"Û29.2m, plus interest, plus Û1.8m towards the ClaimantÕs costs and expenses in arbitration",40.8,n.a.,n.a.,n.a.,n.a.
2008,2010,TJK,AUT,n.a.,n.a.,n.a.,n.a.,Mohammad Ammar Al-Bahloul v. The Republic of Tajikistan,SCC,V064/2008,Energy Charter Treaty,Oil and gas,OIL,US$230m,230,yes,state,Tribunal held that the circumstances dictated that Respondent compensate the claimant for Û300k of the more than Û1.1m spent on legal costs and arbitration costs,0,n.a.,n.a.,n.a.,n.a.
2010,2013,TKM,TUR,n.a.,n.a.,n.a.,n.a.,Farouk Bozbey v. Turkmenistan,UNCITRAL,n.a.,Turkey-Turkmenistan BIT,Agricultural enterprise,AGR,unknown,unknown,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2013,pending,TKM,TUR,n.a.,n.a.,n.a.,n.a.,Erhas and others v. Turkmenistan,UNCITRAL,n.a.,Turkey-Turkmenistan BIT,unknown,unknown,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,TKM,TUR,n.a.,n.a.,n.a.,n.a.,Muhammet ‚ap & Sehil In_aat Endustri ve Ticaret Ltd. Sti. v. Turkmenistan,ICSID,ARB/12/6,Turkey-Turkmenistan BIT,Construction,RE,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2010,pending,TKM,TUR,n.a.,n.a.,n.a.,n.a.,Içkale Insaat Limited Sirketi v. Turkmenistan,ICSID,ARB/10/24,Turkey-Turkmenistan BIT,Real estate,RE,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,pending,TKM,GBR,n.a.,n.a.,n.a.,n.a.,Garanti Koza LLP v. Turkmenistan,ICSID,ARB/11/20,"UK-Turkmenistan BIT, Turkey-Turkmenistan BIT",Highway construction project ,UTL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,2012,TKM,RUS,n.a.,n.a.,n.a.,n.a.,Mobile TeleSystems OJSC v. Turkmenistan,ICSID,ARB(AF)/11/4,Russian Federation-Turkmenistan BIT,Telecommunications,TEL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1996,2000,TKM,ARG,n.a.,n.a.,n.a.,n.a.,Joint Venture Yashlar & Bridas SAIPIC v. Turkmenistan,ICC,9151/FMS/KGA,Contract with host state,Oil and gas (exploration),OIL,US$247m,247,yes,investor,"US$1758330, legal fees not specified",1.8,no,n.a.,n.a.,n.a.
2010,2013,TKM,TUR,n.a.,n.a.,n.a.,n.a.,Kilic Insaat Ithalat Ihracat Sanayi ve Ticaret Anonim Sirketi v. Turkmenistan,ICSID,ARB/10/1,Turkey-Turkmenistan BIT,Construction,RE,unknown,unknown,yes,state,0,0,yes,2013,pending,pending
2009,2012,TKM,DEU,n.a.,n.a.,n.a.,n.a.,Adem Dogan v. Turkmenistan,ICSID,ARB/09/9,Germany-Turkmenistan BIT,Agricultural enterprise (poultry),AGR,unknown,unknown,yes,investor,unknown,unknown,yes,2014,pending,pending
2001,2006,TTO,USA,n.a.,n.a.,n.a.,n.a.,"F-W Oil Interests, Inc. v. Republic of Trinidad & Tobago",ICSID,ARB/01/14,Trinidad and Tobago-United States BIT,Oil and gas,OIL,Over US$200m,200,yes,state,0,0,no,n.a.,n.a.,n.a.
2012,pending,TUN,SWE,n.a.,n.a.,n.a.,n.a.,Lundin Tunisia B. V. v. Republic of Tunisia ,ICSID,ARB/12/30,Contract with host state,Oil and gas (exploration),OIL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2004,pending,TUN,NLD,n.a.,n.a.,n.a.,n.a.,ABCI Investments NV v. Republic of Tunisia,ICSID,ARB/04/12,"Netherlands-Tunisia BIT, Tunisia Investment Law (1969)",Banking,FIN,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2003,2004,TUN,SAU,n.a.,n.a.,n.a.,n.a.,Tanmiah v. Tunisia,AIC,1/1 Q,Arab Investment Agreement,Broadcasting enterprise,SER,US$79058170,79.1,yes,state,0,0,no,n.a.,n.a.,n.a.
2013,2014,TUN,NLD,n.a.,n.a.,n.a.,n.a.,Lundin Tunisia B. V. v. Republic of Tunisia ,ICSID,ARB/13/15,Contract with host state,Oil and gas (exploration),OIL,unknown,unknown,yes,state,0,0,no,n.a.,n.a.,n.a.
2014,pending,TUR,unknown,n.a.,n.a.,n.a.,n.a.,Baymina Enerji Anonim _irketi v. Boru Hatlarõ ile Petrol Ta_õma Anonim _irketi,ICSID,ARB/14/35,Contract with host state,Electric power concession (natural gas),UTL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,TUR,TUR,n.a.,n.a.,n.a.,n.a.,Cem Uzan v. Republic of Turkey,SCC,n.a.,Energy Charter Treaty,Electric power concession,UTL,US$2.5b,2500,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2004,2005,TUR,USA,n.a.,n.a.,n.a.,n.a.,Motorola Credit Corporation Inc. v. Republic of Turkey ,ICSID,ARB/04/21,Turkey-United States BIT,Telecommunications (mobile),TEL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2007,2009,TUR,POL,n.a.,n.a.,n.a.,n.a.,Europe Cement Investment and Trade S.A. v. Republic of Turkey ,ICSID AF,ARB(AF)/07/2,Energy Charter Treaty,Electric power concession,UTL,US$3.8b,3800,yes,state,0,0,no,n.a.,n.a.,n.a.
2006,2009,TUR,POL,n.a.,n.a.,n.a.,n.a.,Cementownia ÒNowa HutaÓ SA v. Republic of Turkey ,ICSID AF,ARB(AF)/06/2,Energy Charter Treaty,Electric power concession,UTL,US$4.6b,4600,yes,state,0,0,no,n.a.,n.a.,n.a.
2007,2010,TUR,NLD,n.a.,n.a.,n.a.,n.a.,Saba Fakes v. Republic of Turkey ,ICSID,ARB/07/20,Netherlands-Turkey BIT,Telecommunications (mobile),TEL,unknown,unknown,yes,state,0,0,no,n.a.,n.a.,n.a.
2002,2007,TUR,USA,n.a.,n.a.,n.a.,n.a.,PSEG Global Inc. & Konya Ilgin Elektrik †retim ve Ticaret Limited Sirketi v. Republic of Turkey,ICSID,ARB/02/5,Turkey-United States BIT,Electric power concession,UTL,US$500m,500,yes,investor,"Tribunal has jurisdiction over PSEG and Konya; Tribunal lacks jurisdiction over NACC; Awarded US$9,061,479.34 plus interest and part of claimant's costs (65% of the costs of the arbitration and legal costs and fees US$13,553,563.80)",9.1,no,n.a.,n.a.,n.a.
2006,2011,TUR,CYP,n.a.,n.a.,n.a.,n.a.,Libananco Holdings Co. Limited v. Republic of Turkey ,ICSID,ARB/06/8,Energy Charter Treaty,Electric power concession,UTL,Up to US$10b,10000,yes,state,0,0,yes,2011,2013,upheld
2011,2014,TUR,NLD,n.a.,n.a.,n.a.,n.a.,Tulip Real Estate and Development Netherlands B.V. v. Republic of Turkey,ICSID,ARB/11/28,Netherlands-Turkey BIT,Real estate (residential and commercial),RE,Approximately US$300m,300,yes,state,0,0,yes,2014,pending,pending
2008,2012,TUR,NLD,n.a.,n.a.,n.a.,n.a.,Alapli Elektrik BV v. Republic of Turkey,ICSID,ARB/08/13,"Netherlands-Turkey BIT, Energy Charter Treaty",Electric power concession,UTL,US$100m,100,yes,state,0,0,yes,2012,2014,upheld
2010,pending,TZA,HKG,n.a.,n.a.,n.a.,n.a.,Standard Chartered Bank (Hong Kong) Limited v. Tanzania Electric Supply Company Limited,ICSID,ARB/10/20,Contract with host state,Electric power concession,UTL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1998,2001,TZA,MYS,n.a.,n.a.,n.a.,n.a.,Tanzania Electric Supply Company Limited v. Independent Power Tanzania Limited ,ICSID,ARB/98/8,Contract with host state,Electric power concession,UTL,US$23670266.67,23.7,yes,state,0,0,no,n.a.,n.a.,n.a.
2005,2008,TZA,GBR,n.a.,n.a.,n.a.,n.a.,Biwater Gauff (Tanzania) Ltd. v. United Republic of Tanzania,ICSID,ARB/05/22,"Tanzania-United Kingdom BIT, Tanzania Investment Law (1997)",Water and sewage concession,UTL,Approximately US$20m,20,yes,state,0,0,no,n.a.,n.a.,n.a.
2010,2012,TZA,GBR,n.a.,n.a.,n.a.,n.a.,Standard Chartered Bank v. United Republic of Tanzania,ICSID,ARB/10/12,Tanzania-UK BIT,Electric power concession,UTL,At least US$118609000,118.6,yes,state,0,0,yes,2013,2013,discontinued
2012,pending,UGA,GBR,n.a.,n.a.,n.a.,n.a.,Tullow Uganda Operations PTY LTD v. Republic of Uganda,ICSID,ARB/12/34,Contract with host state,Oil and gas,OIL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2005,2008,UKR,LVA,n.a.,n.a.,n.a.,n.a.,AMTO LLC v. Ukraine,SCC,080/2005,Energy Charter Treaty,Electric power concession (nuclear),UTL,"Û15m, plus interest (on approximately Û100m)",20,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2014,pending,UKR,NLD,n.a.,n.a.,n.a.,n.a.,"City-State N.V., Praktyka Asset Management Company LLC, Crystal-Invest LLC and Prodiz LLC v. Ukraine",ICSID,ARB/14/9,Netherlands-Ukraine BIT,Banking,FIN,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,UKR,GBR,n.a.,n.a.,n.a.,n.a.,Krederi Ltd. V. Ukraine,ICSID,ARB/14/17,Ukraine-UK BIT,Real estate,RE,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2007,2012,UKR,GRC,n.a.,n.a.,n.a.,n.a.,"Laskaridis Shipping Co. LTD, Lavinia Corp., A.K.Laskaridis & P.K.Laskaridis vs. Ukraine",UNCITRAL,n.a.,Greece-Ukraine BIT,Manufacturing (shipbuilding),MFG,US$9m,9,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2006,UKR,USA,n.a.,n.a.,n.a.,n.a.,Western NIS Enterprise Fund v. Ukraine ,ICSID,ARB/04/2,Ukraine-United States BIT,Manufacturing (sunflower oil),MFG,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1998,2000,UKR,USA,n.a.,n.a.,n.a.,n.a.,Joseph Charles Lemire v. Ukraine,ICSID AF,ARB(AF)/98/1,Ukraine-United States BIT,Broadcasting enterprise (radio),TEL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2008,2011,UKR,GBR,n.a.,n.a.,n.a.,n.a.,Remington Worldwide Limited v. Ukraine,SCC ,n.a.,Energy Charter Treaty,Electric power concession (nuclear),UTL,US$35923997.16,36,yes,investor,unknown,unknown,n.a.,n.a.,n.a.,n.a.
